# SPDX-License-Identifier: AGPL-3.0-or-later
# Append-only Dissonance autoresearch ledger. Raw artifacts live under the evaluator artifact root.
round	experiment	parent	candidate	evaluator	status	primary	secondary	complexity	description
e07	E07	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	1 canary and all 7 hard fixtures certified	all prefixes replayed on primary host; all baselines recorded; rounds open	3 evaluator-only binaries; 5 converters/trace tools	Section 14 threshold exceeded; round 1 freezes from unchanged champion 094a15da.
round-001	E09-SCORE-FREEZE	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	progress reducer 5eddecbd1aae95600442079ec5bcd6e00a20c038b51febef8602edfbb2b0a47d	champion Stage 1a AUC: 2-2 106400; 7-2 101900; 8-4 18100	1 evaluator-only reducer	Frozen fixture-normalized integer right-step integral over the evaluator-native deterministic progress curve; no wall time enters selection.
round-001	E09-R1-C01	094a15daa3c1618e8fc0605d8e89403663f162b9	cc94b71f68e4d9f001a70ab2c3fade3be372bec6	smb-v0001-094a15da-batch3	INVALID	Stage 0 boundary/determinism review failed; 0 efficacy executions	multi-worker admission timing can change the TwoMode 3:1 phase and selected parent; patch 545ce14755badfd14a6b3efec78a7e3ee7ee05c3a81b6826f41b68a97b751519	3 concepts	Predeclared two-mode challenger rejected before screen; phase used admission-updated selector accounting rather than deterministic dispatch order, and its synchronous unit test could not expose the leak.
round-001	E09-R1-C02	094a15daa3c1618e8fc0605d8e89403663f162b9	a4d177fc3893bda67a36ec55c4b00e6f5b9b463d	smb-v0001-094a15da-batch3	REJECT	Stage 1a worst-column AUC delta -12000; completions delta 0	AUC 2-2 94400 vs 106400; 7-2 101400 vs 101900; 8-4 27500 vs 18100; resident bytes 63-121M vs champion 1.5-4.4M	4 concepts	Age stratification helped 8-4 but lost the outer energy/frontier/exhaustion behavior, regressing worst-column progress and deterministic memory; stopped before Stage 1b.
round-001	E06-R1-C03	094a15daa3c1618e8fc0605d8e89403663f162b9	8b29a222c6a44f0e8a72a58475edddda64b3f7f5	smb-v0001-094a15da-batch3	INCONCLUSIVE	synthetic 400 to 200 snapshot bytes; no mature byte census	Stage 0 replay pass; real whole-tree import scheduler and 10K/30K/100K archive-plus-checkpoint target unmeasured	3 concepts	Direct release test does not exercise import ancestry or establish the charter's deterministic 30% mature-byte threshold; no efficacy or promotion run.
round-001	E09	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INCONCLUSIVE	0 promotions; champion unchanged	R1-C01 INVALID; R1-C02 REJECT; R1-C03 INCONCLUSIVE	0 champion concepts added	Round complete with three falsifiable diagnoses carried into frozen Round 2; no Stage 2 run because no Stage 1 survivor.
round-002	E08-R2-C03	094a15daa3c1618e8fc0605d8e89403663f162b9	NO-CODE	smb-v0001-094a15da-batch3	PROMOTE	existing deterministic accounting is sufficient	three falsifiable hypotheses: lost outer policy; snapshot-dominated memory; geometry-specific 8-4 selection distribution	0 concepts	Diagnosis lens exits without instrumentation: current reports, per-entry counters, progress curves, memory decomposition, and stream records already expose the required comparisons.
round-002	E09-R2-C01	094a15daa3c1618e8fc0605d8e89403663f162b9	b66e0c05c939c948bdac5df27c0480672eb33a6e	smb-v0001-094a15da-batch3	REJECT	canary 0 completions at 15000; progress 185	resident 465054658 bytes; snapshot 449398464; stream ea5373e72225e06696146613c95b456f085313ceed41f19c32f513f96b56fef7	2 concepts	Dispatch clock closes the timing leak, but the top-level two-mode policy still drops incumbent energy/frontier/exhaustion behavior; canary veto stops Stage 1.
round-002	E09-R2-C02	094a15daa3c1618e8fc0605d8e89403663f162b9	63d162463e1c5b216a8d44e040ffabbb9a50a420	smb-v0001-094a15da-batch3	REJECT	canary 0 completions at 15000; progress 164	resident 404000257 bytes; snapshot 390131983; stream 49b3c63ceaf8c7bba77cf335170aa1a2cfd6d0987ebd320b1579f0a658d890bc	2 concepts	Outer incumbent weighting and exhaustion were preserved, but equal age strata weakened within-cell concentration enough to fail the canary and expand live snapshots; Stage 1 not run.
round-002	E09	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INCONCLUSIVE	0 algorithmic promotions; champion unchanged	R2-C01 and R2-C02 fail canary; R2-C03 diagnosis PROMOTE	0 champion concepts added	Second consecutive round without worst-column improvement triggers the stall rule and synthesis pass 1 before Round 3.
synthesis-001	SYNTHESIS	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	champion unchanged after rounds 1-2; stall rule active	top-level replacement and equal age strata rejected; mature memory census still absent	0 champion concepts added	Deleted four unsupported mechanisms; Round 3 changes rollout distribution and retirement while including E08 diagnosis.
round-003	E09-R3-C01	094a15daa3c1618e8fc0605d8e89403663f162b9	NO-CODE	smb-v0001-094a15da-batch3	INVALID	0 efficacy executions; configuration identical to champion	fresh E00 reports already record suffix_policy one_to_six	0 concepts	Frozen candidate preserved and rejected at preflight; rollout-distribution remains untried.
round-003	E09-R3-C02	094a15daa3c1618e8fc0605d8e89403663f162b9	CONFIGURATION-ONLY	smb-v0001-094a15da-batch3	REJECT	Stage 1b worst known AUC delta -102200	7-2 1375500 vs 1477700; 8-4 1577300 vs 1593200; exact micro replay pass	0 concepts	Earlier retirement passed canary and had one small Stage-1a win, but lost both known 30K comparisons; no confirmation.
round-003	E08-R3-C03	094a15daa3c1618e8fc0605d8e89403663f162b9	NO-CODE	smb-v0001-094a15da-batch3	PROMOTE	suffix diagnosis untested; retirement diagnosis not supported	R3-C01 invalid; R3-C02 regressed 7-2 and 8-4 at 30K	0 concepts	Diagnosis-only promotion: run the actual one_or_two intervention and compare deterministic progress and suffix distributions.
round-003	E09	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INCONCLUSIVE	0 algorithmic promotions; champion unchanged	R3-C01 invalid; R3-C02 reject; R3-C03 diagnosis promote	0 champion concepts added	Degraded round complete; Round 4 carries the unsatisfied stall-rule component change forward.
round-004	E09-R4-C01	094a15daa3c1618e8fc0605d8e89403663f162b9	CONFIGURATION-ONLY	smb-v0001-094a15da-batch3	REJECT	canary 0 completions at 15000	resident 168145708; snapshot 162531240; stream a4c6f1fe9f138309f60e5343034ab159d2303c605511280dd3457badcf64d0a6	0 concepts	One-or-two suffixes replayed exactly and cut memory, but lost all canary completions; no Stage 1.
round-004	E09-R4-C02	094a15daa3c1618e8fc0605d8e89403663f162b9	617073ddaa2f23cc49a840fde3649d102e78c04c	smb-v0001-094a15da-batch3	REJECT	canary 0 completions at 15000	resident 397407053; snapshot 383821637; stream cbeda59b0dd9a6b370a64561ee2f7feb4592f5ac71b02d765753a503f4c83628	0 net concepts	A 16-bucket selection band passed local and Linux gates plus exact replay, but lost all canary completions; no Stage 1.
round-004	E08-R4-C03	094a15daa3c1618e8fc0605d8e89403663f162b9	NO-CODE	smb-v0001-094a15da-batch3	PROMOTE	both untried component changes fail canary	shorter suffixes 11724 live entries; wider grouping 27690; both 0 completions	0 concepts	Diagnosis-only promotion: canary competence is brittle to isolated rollout and grouping changes.
round-004	E09	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INCONCLUSIVE	0 algorithmic promotions; champion unchanged	R4-C01 and R4-C02 fail canary; R4-C03 diagnosis promote	0 champion concepts added	Stall-rule round complete; second synthesis pass is the batch stopping point.
synthesis-002	SYNTHESIS	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	batch complete; champion unchanged	E00 and E07 pass; four rounds yield no algorithmic promotion; systems memory certification fails	0 champion concepts added	Evidence table, deleted mechanisms, remaining bottleneck, and three next-batch hypotheses recorded in AUTORESEARCH-SYNTHESIS-002.toml.
